site_id,권역,시군,행정구역_상세,시설명,위도,경도,주소,출력등급_표준,출력분류,출력_W,반경_m,웹표시형식,검토상태,반영권장,데이터원본,비고
S0001,남부,수원시,,수원시청,37.263406,127.028584,,중형,중형,1200,1000.9,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0002,남부,수원시,,파장동행정복지센터,37.3103862,126.9974438,,중형,중형,1200,1000.8,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0003,남부,수원시,,율천동행정복지센터,37.2976927,126.9714919,,중형,중형,1200,999,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0004,남부,수원시,,정자1동행정복지센터,37.3021669,126.9913968,,중형,중형,1200,999,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0005,남부,수원시,,조원1동행정복지센터,37.3017563,127.0164898,,중형,중형,1200,1000.1,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0006,남부,수원시,,연무동행정복지센터,37.2905137,127.0216119,,중형,중형,1200,1000.7,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0007,남부,수원시,,권선구청,37.2575787,126.9717607,,중형,중형,1200,998.7,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0008,남부,수원시,,세류1동행정복지센터,37.2621295,127.0079748,,중형,중형,1200,998.9,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0009,남부,수원시,,세류2동행정복지센터,37.2532959,127.0130622,,중형,중형,1200,1201,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0010,남부,수원시,,평동행정복지센터,37.2580172,126.9941433,,통합,통합,2400,1201.8,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0011,남부,수원시,,구운동행정복지센터,37.2772303,126.9715331,,대형,대형,2400,999.5,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0012,남부,수원시,,호매실동행정복지센터,37.2661824,126.9570346,,중형,중형,1200,1000.7,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0013,남부,수원시,,금곡동행정복지센터,37.2727783,126.9521916,,중형,중형,1200,1000.4,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0014,남부,수원시,,권선2동행정복지센터,37.2577129,127.0245833,,중형,중형,1200,1000.7,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0015,남부,수원시,,곡선동행정복지센터,37.2432913,127.033365,,중형,중형,1200,999.8,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0016,남부,수원시,,입북동행정복지센터,37.2933327,126.9595345,,중형,중형,1200,998.7,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0017,남부,수원시,,선경도서관,37.2838213,127.0104925,,중형,중형,1200,1000.8,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0018,남부,수원시,,매산동행정복지센터,37.268655,127.0056696,,중형,중형,1200,998.9,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0019,남부,수원시,,화서2동행정복지센터,37.2851412,126.9863142,,통합,통합,2400,1199.4,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0020,남부,수원시,,수원시민회관,37.2734205,127.0112534,,중형,중형,1200,1000,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0021,남부,수원시,,지동행정복지센터,37.2820214,127.0284432,,중형,중형,1200,999.7,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
S0022,남부,수원시,,우만1동행정복지센터,37.2772623,127.0257445,,중형,중형,1200,999.3,circle,정상,radius 기반 원형표시,구글 가청률 지도 최종본.kmz,
